,nodeA,nodeB,polarity
625,Jack Conway,Matt Bevin,0.0
626,Matt Bevin,Steve Beshear,0.0
627,Jack Conway,Steve Beshear,0.0
628,Deborah Palfrey,Vitter,-0.5859
629,Phil Bryant,Robert Gray,0.0
630,Chris Christie,Jeb Bush,0.1761
631,Bush,Woody Johnson,0.4019
632,Bush,Woody Johnson,0.4019
633,Bush,Bush,0.4019
634,Bush,Thomas H. Kean Sr.,0.34
635,Bush,Kean,0.7964
636,Finn Wentworth,Jerry Langer,0.3353
637,Finn Wentworth,Todd,0.3353
638,Jerry Langer,Todd,0.3353
639,Bush,Hanson,0.4404
640,Bush,Christie,0.0
641,Kyrillos,Zwick,0.4927
642,Bush,Lawrence E. Bathgate II,0.5719
643,Bathgate,Christie,0.0
644,Bathgate,Obama,0.631
645,Bernie Sanders,Hilary Clinton,0.2144
646,Clinton,Donald Trump,0.3818
647,Norman Solomon,Tim Kaine,-0.0516
648,Hillary Clinton,Solomon,0.4588
649,Gloria Allred,Zervos,0.0
650,John Barry,Zervos,0.0
651,Barry,Trump,-0.5719
652,Bill Clinton's,Clinton,-0.34
653,Clintons,Trump,0.0
654,Carlos Slim,Hillary Clinton,0.0
655,Clintons,Hillary Clinton,0.5927
656,Clinton,Hillary Clinton,0.765
657,Bill,Hillary Clinton,0.4939
658,Bill,Hillary,0.4939
659,Hillary,Hillary Clinton,0.4939
660,Clinton,Hillary,-0.5574
661,Clinton,Hillary Clinton,-0.9571
662,Hillary Clinton,Vince Foster,-0.9571
663,Chris Stevens,Hillary Clinton,-0.9571
664,Clinton,Vince Foster,-0.9571
665,Chris Stevens,Clinton,-0.9571
666,Chris Stevens,Vince Foster,-0.9571
667,Chelsea Clinton,Clinton,0.3804
668,Hill,Karl Rove,-0.7506
669,Clinton,Clinton,-0.7717
670,Clintons,Clintons,-0.4404
671,Clintons,Clintons,-0.4404
672,Clintons,Clintons,-0.4404
673,Clinton,Glenn Thrush,0.1255
674,Clinton,Maggie Haberman,0.1255
675,Glenn Thrush,Maggie Haberman,0.1255
676,Ken Vogel,Politico,0.5106
677,Clinton,Clinton,-0.2732
678,Clinton,David Axelrod's,0.4215
679,Clinton,Susan Rice,0.5267
680,Clinton,Rice,-0.3182
